port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
76,out,strain_L1_shifted,GRAVITATIONAL_WAVE_DETECTION.SHIFT_FREQUENCY_BANDPASSED->strain_L1_shifted,205,52
77,in,strain_H1_shifted,GRAVITATIONAL_WAVE_DETECTION.WAVE_FILE_GENERATOR<-strain_H1_shifted,210,51
78,in,strain_L1_shifted,GRAVITATIONAL_WAVE_DETECTION.WAVE_FILE_GENERATOR<-strain_L1_shifted,212,52
79,out,GW150914_H1_shifted.wav,GRAVITATIONAL_WAVE_DETECTION.WAVE_FILE_GENERATOR->GW150914_H1_shifted.wav,214,53
80,out,GW150914_L1_shifted.wav,GRAVITATIONAL_WAVE_DETECTION.WAVE_FILE_GENERATOR->GW150914_L1_shifted.wav,216,54
81,in,strain_16,GRAVITATIONAL_WAVE_DETECTION.DOWNSAMPLING<-strain_16,221,28
82,in,strain_4,GRAVITATIONAL_WAVE_DETECTION.DOWNSAMPLING<-strain_4,223,29
83,out,GW150914_H1_ASD_16384.png,GRAVITATIONAL_WAVE_DETECTION.DOWNSAMPLING->GW150914_H1_ASD_16384.png,225,55
84,out,GW150914_H1_ASD_16384_zoom.png,GRAVITATIONAL_WAVE_DETECTION.DOWNSAMPLING->GW150914_H1_ASD_16384_zoom.png,227,56
85,out,GW150914_H1_ASD_4096_zoom.png,GRAVITATIONAL_WAVE_DETECTION.DOWNSAMPLING->GW150914_H1_ASD_4096_zoom.png,229,57
